,battery_power,bluetooth,weight,memory,n_cores,ram,dual_sim,wifi,pixel_height,pixel_width,price_range
184,1502,YES,138,54,5.0,3693,0,0,65,588,3.0
185,1380,YES,92,4,3.0,797,1,0,420,500,0.0
186,1266,NO,95,5,6.0,1687,0,0,1365,1698,2.0
187,1934,YES,103,46,1.0,2940,1,1,619,1299,3.0
188,1905,YES,151,6,1.0,1545,0,0,849,898,1.0
189,1831,NO,150,43,5.0,3834,1,1,611,1381,3.0
190,596,NO,165,46,1.0,2505,0,0,953,984,1.0
191,1562,YES,190,7,5.0,2243,1,0,642,1533,2.0
192,1490,YES,150,64,8.0,3600,1,1,1417,1464,3.0
193,1523,YES,117,57,2.0,3971,0,1,247,539,3.0
194,640,NO,163,20,4.0,2844,0,0,710,1179,2.0
195,1526,NO,117,23,7.0,2227,0,0,718,751,2.0
196,1989,NO,94,41,3.0,1665,1,1,1100,1497,2.0
197,1308,NO,106,61,3.0,3355,0,1,59,1215,3.0
198,609,NO,93,26,4.0,1866,0,1,938,1948,1.0
199,1905,NO,119,36,3.0,1287,1,0,825,1542,1.0
200,1703,YES,192,22,1.0,1046,0,1,286,1235,0.0
201,1445,YES,173,20,7.0,1441,1,1,1273,1345,1.0
202,1087,NO,166,16,3.0,690,0,1,295,589,0.0
203,671,NO,105,30,7.0,2504,1,0,852,1182,2.0
204,1472,YES,168,61,6.0,2677,0,0,710,1052,2.0
205,765,NO,115,47,8.0,2243,1,1,1277,1429,2.0
206,1642,NO,171,8,6.0,2984,1,1,129,873,2.0
207,1265,NO,182,49,5.0,1362,0,1,690,836,1.0
208,664,YES,110,51,7.0,3629,1,1,701,1478,3.0
209,1277,YES,142,35,6.0,3559,1,0,309,1460,3.0
210,1395,NO,111,23,3.0,2571,1,1,213,705,2.0
211,1539,YES,159,41,8.0,2107,0,1,1112,1666,2.0
212,1049,YES,135,63,5.0,1022,0,0,199,1077,0.0
213,1827,NO,128,39,5.0,2844,0,0,55,1020,2.0
214,903,NO,91,50,1.0,711,1,0,1230,1235,0.0
215,1987,YES,181,53,3.0,3117,0,1,1052,1516,3.0
216,1154,NO,181,49,8.0,978,1,1,541,1499,0.0
217,1336,NO,194,17,5.0,1869,0,1,55,583,1.0
218,1886,NO,112,24,3.0,1179,0,1,809,1958,1.0
219,1551,NO,88,51,5.0,3844,0,0,1738,1995,3.0
220,850,YES,133,29,5.0,593,1,1,404,642,0.0
221,660,NO,111,40,2.0,588,0,1,262,1178,0.0
222,1225,YES,116,13,4.0,3836,1,0,759,1404,3.0
223,1452,YES,123,25,6.0,2669,1,0,42,1040,2.0
224,1686,YES,166,38,4.0,2958,1,0,397,1453,3.0
225,1634,YES,200,17,2.0,3031,0,1,964,1677,3.0
226,1708,YES,109,49,1.0,3388,1,1,233,517,3.0
227,1151,YES,128,31,8.0,2377,1,0,1022,1560,2.0
228,1578,NO,138,37,4.0,2458,1,1,411,1226,2.0
229,1689,NO,127,24,3.0,2766,0,1,954,1200,3.0
230,1488,NO,112,39,5.0,3054,0,0,1528,1647,3.0
231,1313,YES,105,9,1.0,3791,1,1,416,1308,3.0
232,1715,NO,83,31,8.0,625,1,0,638,1615,0.0
233,1442,NO,192,27,3.0,2227,1,0,231,687,1.0
234,528,NO,142,6,2.0,3256,0,0,574,637,2.0
235,1523,YES,129,11,1.0,707,0,0,148,1606,0.0
236,1133,NO,199,42,5.0,1457,0,1,730,1543,1.0
237,1718,YES,183,6,5.0,3755,1,1,564,980,3.0
238,1330,NO,183,38,7.0,1733,0,1,1290,1441,1.0
239,1799,YES,107,49,4.0,720,0,1,632,1383,0.0
240,633,YES,139,49,8.0,3560,0,1,529,1009,2.0
241,724,NO,187,44,7.0,2311,1,0,1273,1754,2.0
242,822,YES,157,51,6.0,3846,0,0,667,860,3.0
243,1918,NO,110,10,5.0,1717,0,1,1170,1543,2.0
244,1891,NO,129,37,7.0,3704,0,0,169,1108,3.0
245,1373,YES,127,50,7.0,3800,1,0,105,673,3.0
246,862,YES,165,23,2.0,278,1,1,793,1758,0.0
247,1273,NO,99,48,4.0,1767,0,0,490,886,1.0
248,957,YES,107,7,5.0,1846,0,1,1201,1485,1.0
249,1617,YES,105,30,2.0,829,1,0,246,1038,0.0
250,893,NO,183,55,2.0,2986,1,1,417,946,2.0
251,1210,NO,93,63,5.0,2394,0,0,1177,1462,2.0
252,708,YES,195,63,8.0,2169,1,1,78,654,1.0
253,835,NO,101,7,4.0,1181,1,1,323,1604,0.0
254,1450,YES,131,19,1.0,575,1,0,707,1882,0.0
255,973,YES,190,57,7.0,2977,0,0,457,1816,2.0
256,601,YES,154,4,4.0,532,0,1,356,765,0.0
257,507,YES,141,32,7.0,1702,1,1,936,1398,1.0
258,564,NO,168,51,3.0,1074,1,0,912,1980,0.0
259,1559,YES,162,6,6.0,3352,1,1,179,1559,3.0
260,754,NO,178,59,7.0,1027,1,0,1914,1928,1.0
261,728,NO,88,25,4.0,2039,1,1,526,1529,1.0
262,1431,YES,191,56,1.0,461,0,0,156,952,0.0
263,767,NO,175,28,4.0,527,0,0,344,1517,0.0
264,1722,NO,177,18,2.0,3271,0,1,865,1741,3.0
265,1992,YES,100,57,2.0,606,0,1,1552,1596,1.0
266,1876,NO,86,40,6.0,2513,0,0,546,1564,3.0
267,1054,NO,136,38,6.0,1675,1,1,1097,1222,1.0
268,1283,YES,93,47,5.0,2698,1,0,372,692,2.0
269,1281,YES,148,28,1.0,1129,1,0,1285,1617,1.0
270,1066,NO,114,7,7.0,468,0,0,1242,1571,0.0
271,730,NO,89,4,8.0,1210,1,1,302,1247,0.0
272,1053,YES,103,45,1.0,3086,1,1,594,1767,3.0
273,1611,YES,98,3,3.0,1595,1,1,303,714,1.0
274,793,NO,133,30,2.0,2332,1,1,1858,1935,2.0
275,1220,NO,125,62,4.0,2589,0,1,403,1933,2.0
276,1662,NO,126,61,4.0,3760,0,1,32,1509,3.0
277,1281,YES,144,8,4.0,1851,1,0,590,954,1.0
278,538,NO,177,2,7.0,417,0,1,235,662,0.0
279,823,YES,187,39,8.0,294,0,1,630,888,0.0
280,1733,YES,119,36,6.0,3576,0,0,357,527,3.0
281,1429,NO,100,40,3.0,3945,1,1,246,820,3.0
282,1839,YES,200,54,7.0,927,0,1,475,1493,1.0
283,659,NO,110,6,3.0,2044,0,1,1054,1929,1.0
284,1953,YES,158,56,8.0,2334,1,0,555,764,2.0
285,1172,NO,164,27,1.0,1477,0,0,607,1092,1.0
286,612,YES,102,16,7.0,3161,1,0,1360,1891,3.0
287,1563,NO,170,24,8.0,3660,0,0,142,1699,3.0
288,1191,NO,84,26,1.0,1604,1,1,681,683,1.0
289,615,YES,163,42,6.0,2211,1,1,104,1664,1.0
290,1893,YES,134,63,2.0,3822,1,1,637,763,3.0
291,1563,NO,151,16,7.0,3922,1,1,410,572,3.0
292,1995,YES,139,9,6.0,1203,0,1,1830,1963,2.0
293,1517,NO,143,48,5.0,2822,0,1,802,1489,3.0
294,832,NO,108,34,5.0,447,1,0,311,1294,0.0
295,1162,NO,114,56,7.0,1652,0,0,56,997,1.0
296,1595,YES,121,12,8.0,3608,0,0,344,655,3.0
297,1329,YES,181,52,6.0,1228,0,1,1053,1458,1.0
298,928,YES,80,56,8.0,666,1,0,221,1243,0.0
299,1656,YES,105,38,7.0,1499,1,1,506,519,1.0
300,1937,YES,189,58,1.0,3321,0,0,1728,1767,3.0
301,977,YES,181,57,6.0,1206,1,1,63,566,0.0
302,768,YES,113,56,1.0,952,0,1,418,515,0.0
303,1464,YES,117,12,2.0,3927,1,1,854,1168,3.0
304,1177,NO,191,29,2.0,311,0,0,178,882,0.0
305,1348,NO,98,52,3.0,955,0,1,1869,1942,1.0
306,1956,NO,87,37,3.0,1109,0,0,185,776,1.0
307,1751,NO,178,8,6.0,2969,1,1,170,564,2.0
308,1530,NO,177,42,6.0,725,0,1,454,1975,0.0
309,1997,YES,185,40,4.0,1655,1,0,866,1212,2.0
310,1414,YES,180,44,2.0,3490,1,0,44,1118,3.0
311,1707,NO,80,41,7.0,1774,0,0,1331,1388,2.0
312,894,NO,199,50,3.0,3615,1,1,1285,1462,3.0
313,645,NO,184,41,8.0,714,0,0,741,1130,0.0
314,1163,NO,155,49,2.0,2768,1,1,520,754,2.0
315,1126,NO,165,49,8.0,3739,0,0,114,1726,3.0
316,1648,NO,170,64,4.0,610,0,0,1153,1876,1.0
317,1170,YES,199,14,2.0,715,0,1,474,709,0.0
318,508,NO,94,42,1.0,663,0,0,39,557,0.0
319,1097,NO,161,64,3.0,1725,1,1,419,1914,1.0
320,728,NO,101,5,2.0,834,1,0,584,775,0.0
321,1980,NO,177,29,1.0,3865,1,0,312,1910,3.0
322,1504,NO,182,64,1.0,3059,1,0,19,1923,3.0
323,1379,YES,83,63,1.0,651,1,0,207,1370,0.0
324,1698,NO,160,18,6.0,796,0,1,363,994,0.0
325,920,NO,115,25,7.0,785,1,1,209,1078,0.0
326,1144,YES,189,21,1.0,3252,1,0,159,724,2.0
327,1995,YES,129,26,1.0,1322,0,1,649,1104,1.0
328,1430,NO,183,27,1.0,2832,1,1,1132,1182,2.0
329,972,YES,193,13,5.0,1615,1,0,1392,1795,1.0
330,662,NO,138,20,1.0,2125,0,1,1001,1224,1.0
331,1867,NO,191,9,6.0,990,0,1,712,1442,1.0
332,1730,NO,143,20,4.0,1595,1,0,418,1023,1.0
333,1723,YES,126,7,3.0,1213,0,1,384,1361,1.0
334,1882,YES,140,47,2.0,2500,1,1,119,652,2.0
335,803,NO,106,18,4.0,2801,1,0,627,935,2.0
336,580,YES,91,47,3.0,3451,1,0,1086,1345,3.0
337,668,NO,114,48,1.0,1201,0,0,195,1292,0.0
338,1391,NO,182,36,1.0,3139,0,0,14,1256,2.0
339,1560,NO,169,22,7.0,1938,0,1,745,1364,2.0
340,821,NO,109,54,3.0,3185,1,0,253,1786,2.0
341,811,YES,106,2,6.0,2111,1,1,333,1429,1.0
342,1989,YES,193,17,8.0,2369,1,0,629,682,2.0
343,1034,YES,120,37,7.0,3625,1,1,707,1199,3.0
344,618,NO,86,6,1.0,1051,0,1,1314,1688,0.0
345,654,YES,196,52,4.0,1036,0,0,1715,1898,1.0
346,576,YES,184,10,5.0,2938,0,1,513,1438,2.0
347,667,YES,185,3,6.0,2855,0,1,13,1463,2.0
348,869,YES,118,57,1.0,2727,0,0,1243,1584,2.0
349,635,YES,149,42,3.0,2973,1,1,300,1059,2.0
350,609,YES,117,44,1.0,2581,0,1,58,1253,1.0
351,1557,NO,123,2,5.0,2690,1,1,1107,1442,3.0
352,1604,YES,191,33,8.0,916,0,1,134,939,0.0
353,1182,NO,138,8,8.0,2563,0,0,275,986,2.0
354,848,YES,148,19,7.0,3359,1,0,176,1029,2.0
355,1610,YES,181,64,4.0,941,0,0,1236,1280,1.0
356,1828,YES,199,17,1.0,2280,1,0,336,898,2.0
357,880,NO,194,50,7.0,827,1,1,1116,1381,0.0
358,1394,YES,175,62,5.0,473,1,0,1010,1565,0.0
359,1960,YES,86,61,7.0,3865,1,0,205,1299,3.0
360,809,NO,91,21,7.0,1274,0,0,1453,1726,1.0
361,899,NO,172,57,2.0,364,1,0,788,1331,0.0
362,1976,YES,171,32,2.0,3699,1,1,1301,1922,3.0
363,879,NO,187,21,4.0,2927,1,1,463,1038,2.0
364,916,YES,195,36,4.0,1470,0,0,188,992,0.0
365,763,NO,92,2,8.0,1050,1,0,1028,1186,0.0
366,508,NO,162,9,6.0,2616,1,1,1419,1920,2.0
367,825,NO,99,34,8.0,2915,1,0,1471,1866,3.0
368,1864,NO,178,46,1.0,2686,0,1,168,981,2.0
369,1725,NO,185,52,6.0,1243,1,1,1125,1195,1.0
370,1108,YES,183,52,2.0,3264,0,1,130,1706,3.0
371,1011,NO,131,36,7.0,2261,0,1,481,749,1.0
372,1703,YES,138,55,5.0,2993,1,1,1411,1711,3.0
373,1067,YES,135,58,7.0,706,1,0,79,681,0.0
374,1334,YES,115,42,5.0,2542,0,0,1187,1974,3.0
375,775,YES,189,30,7.0,2523,0,1,561,1510,2.0
376,1899,YES,151,26,2.0,336,NO,1,96,814,0.0
377,930,YES,97,14,6.0,2457,1,0,77,1025,1.0
378,1058,NO,166,19,4.0,418,NO,1,493,1247,0.0
379,1187,YES,145,46,2.0,3917,NO,1,1173,1814,3.0
380,1874,YES,166,8,7.0,1246,1,1,964,1233,1.0
381,1482,NO,142,48,7.0,2971,NO,1,634,642,2.0
382,1809,YES,174,59,3.0,2324,NO,1,639,721,2.0
383,864,YES,187,54,2.0,3121,1,1,127,1670,2.0
384,625,YES,191,33,1.0,3801,NO,0,431,550,2.0
385,1880,YES,138,18,3.0,3333,NO,0,71,699,3.0
386,1138,NO,187,44,8.0,3475,NO,0,111,1138,3.0
387,560,NO,146,23,8.0,2360,NO,1,356,1903,1.0
388,1117,NO,144,12,7.0,2895,NO,0,798,817,2.0
389,1712,NO,137,63,7.0,3652,NO,0,747,1126,3.0
390,1836,YES,134,26,6.0,3097,1,0,408,1139,3.0
391,1036,YES,119,39,7.0,2101,NO,0,373,926,1.0
392,1860,YES,162,23,4.0,3918,NO,0,1362,1506,3.0
393,1375,YES,145,9,7.0,3869,NO,1,475,726,3.0
394,1945,NO,195,57,4.0,732,1,0,743,1753,1.0
395,1896,NO,141,7,2.0,3684,1,0,447,794,3.0
396,788,NO,91,57,8.0,3969,1,1,42,1161,3.0
397,880,YES,173,33,2.0,1414,1,0,30,1350,0.0
398,1323,YES,131,28,4.0,1892,1,1,162,619,1.0
399,1868,NO,169,42,1.0,3131,1,1,347,660,3.0
400,1266,NO,184,7,3.0,2532,1,1,346,1468,2.0
401,1042,NO,93,50,7.0,3215,1,1,727,1705,3.0
402,1479,NO,156,19,3.0,3323,NO,1,180,1476,3.0
403,1476,YES,171,55,4.0,1529,1,1,1641,1666,2.0
404,1552,YES,123,13,6.0,2403,NO,1,269,1026,2.0
405,1454,YES,83,34,4.0,3419,1,0,250,1033,3.0
406,1007,NO,95,45,5.0,3648,NO,0,1186,1529,3.0
407,652,YES,173,17,5.0,1974,1,0,77,559,0.0
408,1504,NO,142,34,8.0,2806,NO,1,507,973,2.0
409,1726,YES,193,51,4.0,2239,1,1,379,1223,2.0
410,1029,YES,171,5,5.0,582,1,1,264,956,0.0
411,1582,NO,112,44,6.0,3890,NO,1,1486,1797,3.0
412,1478,YES,99,48,5.0,1141,1,1,694,882,1.0
413,1178,YES,101,49,5.0,2511,NO,0,579,596,2.0
414,707,NO,131,25,3.0,3838,1,1,495,574,3.0
415,755,YES,186,51,4.0,2734,NO,1,315,990,2.0
416,912,YES,161,54,8.0,2330,NO,0,329,1053,1.0
417,651,YES,176,63,5.0,2244,1,0,548,858,1.0
418,1483,NO,176,54,7.0,1851,NO,0,531,758,1.0
419,914,YES,100,4,2.0,808,NO,0,191,1495,0.0
420,1456,YES,105,7,5.0,1587,1,1,823,1104,1.0
421,1178,NO,84,57,3.0,2492,1,0,96,1352,2.0
422,1503,YES,166,43,4.0,2122,NO,0,841,1304,2.0
423,1681,YES,158,11,2.0,1122,NO,1,195,1205,0.0
424,715,NO,160,48,4.0,3709,1,0,21,562,2.0
425,1876,NO,182,56,3.0,3021,1,0,235,585,2.0
426,1190,YES,186,47,6.0,624,1,1,1417,1441,0.0
427,1755,YES,134,24,7.0,3937,NO,1,286,1075,3.0
428,1197,NO,149,20,6.0,1797,NO,1,649,1629,1.0
429,1048,YES,194,28,2.0,1458,NO,1,966,1975,1.0
430,1887,YES,126,17,8.0,3348,1,0,1172,1798,3.0
431,1772,YES,116,64,8.0,1834,1,1,270,545,1.0
432,1421,NO,165,57,1.0,2775,NO,1,781,1657,3.0
433,1464,NO,153,17,6.0,1277,1,0,418,1341,1.0
434,728,NO,111,23,4.0,457,1,1,126,817,0.0
435,954,YES,134,50,2.0,438,NO,0,228,1058,0.0
436,685,NO,82,13,7.0,3210,1,1,1091,1203,3.0
437,1472,NO,130,36,6.0,985,1,0,1452,1744,1.0
438,853,YES,200,3,2.0,3701,NO,0,674,740,3.0
439,1469,NO,123,8,7.0,1052,NO,0,398,1133,0.0
440,1310,YES,135,57,8.0,1175,1,0,449,889,0.0
